destinationObjects_Organization.id,recipient_org,recipient_org_type,destinationObjects_Organization.organizationSubTypes,country_name,iso3,comment
,"Cote d'Ivoire, Government of",Governments,,Côte d'Ivoire,CIV,
,"Gabon, Government of",Governments,,Gabon,GAB,
,Norwegian Research Council,Governments,,Norway,NOR,
,"Turkmenistan, Government of",Governments,,Turkmenistan,TKM,
,"Mexico, Government of",Governments,,Mexico,MEX,
,"Republic of South Sudan, Government of",Governments,,South Sudan,SSD,
,"Namibia, Government of",Governments,,Namibia,NAM,
,"Belize, Government of",Governments,,Belize,BLZ,
,"Bahamas, Government of",Governments,,Bahamas,BHS,
,"Suriname, Government of",Governments,,Suriname,SUR,
,"Guyana, Government of",Governments,,Guyana,GUY,
,"Trinidad and Tobago, Government of",Governments,,Trinidad and Tobago,TTO,
,"Antigua and Barbuda, Government of",Governments,,Antigua and Barbuda,ATG,
,"Saint Kitts and Nevis, Government of",Governments,,Saint Kitts and Nevis,KNA,
,"Saint Lucia, Government of",Governments,,Saint Lucia,LCA,
,"Saint Vincent and the Grenadines, Government of",Governments,,Saint Vincent and the Grenadines,VCT,
,"Grenada, Government of",Governments,,Grenada,GRD,
,"Barbados, Government of",Governments,,Barbados,BRB,
,"Algeria, Government of",Governments,,Algeria,DZA,
,"Angola, Government of",Governments,,Angola,AGO,
,"Macedonia, Former Yugoslav Republic of, Government of",Governments,,"North Macedonia, Republic of",MKD,
,"Moldova, Government of",Governments,,"Moldova, Republic of",MDA,
,"El Salvador, Government of",Governments,,El Salvador,SLV,
,"Libya, Government of",Governments,,Libya,LBY,
,"Paraguay, Government of",Governments,,Paraguay,PRY,
,"Argentina, Government of",Governments,,Argentina,ARG,
,"Egypt, Government of",Governments,,Egypt,EGY,
,"Tokelau, Government of",Governments,,Tokelau,TKL,
,"Singapore, Government of",Governments,,Singapore,SGP,
,Kuwait Fund for Arab Economic Development,Governments,,Kuwait,KWT,
,Jordanian National Commission for Women,Governments,,Jordan,JOR,
,"Uganda, Government of",Governments,,Uganda,UGA,
,"Swaziland, Government of",Governments,,Eswatini,SWZ,
,"Lesotho, Government of",Governments,,Lesotho,LSO,
,"Guatemala, Government of",Governments,,Guatemala,GTM,
,"Togo, Government of",Governments,,Togo,TGO,
,"Liberia, Government of",Governments,,Liberia,LBR,
,"Eritrea, Government of",Governments,,Eritrea,ERI,
,"Equatorial Guinea, Government of",Governments,,Equatorial Guinea,GNQ,
,"Viet Nam, Government of",Governments,,Viet Nam,VNM,
,"United Arab Emirates, Government of",Governments,,United Arab Emirates,ARE,
,Institute of Environmental Science and Research,Governments,,United Kingdom,GBR,Should be recoded as private org (academia)
,United States Geological Survey,Governments,,United States,USA,
,"Republic of Guinea-Bissau, Government of",Governments,,Guinea-Bissau,GNB,
,National Office for Assistance to Refugees - Djibouti,Governments,,Djibouti,DJI,
,Fairfax County,Governments,,United States,USA,
,Danish Emergency Management Agency,Governments,,Denmark,DNK,
,New Zealand Medical Assistance Team,Governments,,New Zealand,NZL,
,Commission Nationale d'Accueil de Réinsertion des Réfugiés et des Rapatriés,Governments,,Chad,TCD,
,Ministry of Education and Higher Education,Governments,,Lebanon,LBN,
,"Foreign, Commonwealth & Development Office",Governments,,United Kingdom,GBR,
,National Emergency Management Agency New Zealand,Governments,,New Zealand,NZL,
,The National Board of Zakat Republic of Indonesia,Governments,,Indonesia,IDN,
,National Disaster Management Agency of Liberia,Governments,,Liberia,LBR,
,Dispositif National de Prévention et Gestion des Crises Alimentaires,Governments,,Niger,NER,
,Coopération monégasque au développement,Governments,,Monaco,MCO,
,"Democratic Republic of the Congo, Government of",Governments,,Democratic Republic of the Congo,COD,
,German Federal Foreign Office Auswärtiges Amt,Governments,,Germany,DEU,
