year,country,iso3,description,source_org,destination_org,destination_org_type,amountUSD,data_source
2022,Philippines,PHL,Implementation of Quick Impact Project for the Promotion of Protection and Durable Solutions,UNHCR,Assistance and Cooperation for Community Resilience and Development,Other: National,116530,UNHCR partner info
2022,Sudan,SDN,Protection services for urban refugees in Khartoum,UNHCR,Assistant Commissioner Khartoum Office,Governments: Local/National,1538066,UNHCR partner info
2022,Nepal,NPL,Protection and assistance to Persons of Concerns (PoC) in Nepal.,UNHCR,"ASSOC. OF MEDICAL DOCTORS OF ASIA, NEPAL",NGO: International,99894,UNHCR partner info
2022,"Congo, Democratic Republic of",COD,"Programme de bourses pour l'enseignement superieur en faveur des Refugies Urbains de Kinshasa - DAFI; Assistance en éducation au profit des refugiés
centrafricains SO Gbadolite; Assistance multisectorielle aux refugies urbains extrêmement vulnérables de Kinshasa; Protection, assistances, renforcement de
l’inclusion socio-économique des réfugiés urbains & rapatri; Protection et assistance aux refugies sud-soudanais et IDPs dans les Prov de l'Ituri et du Haut-uele;
Protection et assistance multisectorielle dans les provinces du Kasaï Central et Kasaï Oriental",UNHCR,"ASSOC.DEV.SOCIAL & SAUVEGARDE DE L'ENV., R.D.CONGO",NGOs: National,6269190,UNHCR partner info
2022,Türkiye,TUR,"Protection of Persons under TP and IP, Community Outreach, and Solutions in Urban Areas",UNHCR,"ASSOC.FOR SOLIDARITY W ASYL.SEEKERS/MIGRANTS, TUR",NGOs: National,5935445,UNHCR partner info
2022,France,FRA,Soutien aux pers. vulnérables en quête de prot. interl. dans les zones d’attente des frontières ext.,UNHCR,"ASSOC.NAT.D'ASS.AUX FRONTIERES POUR ETRANGERS, FRA",NGOs: National,31024,UNHCR partner info
2022,Mozambique,MOZ,"Protection of IDPs and Host Communities in Nampula, Meconta and Rapale Districts",UNHCR,Associacao ActionAid Mozambique,NGOs: National,733852,UNHCR partner info
2022,Mozambique,MOZ,Humanitarian assistance to IDPs from Cabo Delgado; Provision of shelter materials and maintenance tools kits to PoCs affected by cyclone Gombe_Maratane,UNHCR,Associacao Caritas Diocesana de Nampula,NGOs: Local,1321187,UNHCR partner info
2022,Brazil,BRA,Assistance for Diploma Revalidation,UNHCR,Associacao Compassiva,NGOs: National,39272,UNHCR partner info
2022,Brazil,BRA,Provision of Self-Reliance for PoCs,UNHCR,Associacao Hermanitos,NGOs: National,115923,UNHCR partner info
2022,Mozambique,MOZ,Livelihood interventions in Maratane,UNHCR,Associacao para a Preservacao do Meio Ambiente - Livaningo,NGOs: National,337065,UNHCR partner info
2022,Brazil,BRA,Shelter Mgmt & Multi-Sector Assistance to PoC from Venezuela,UNHCR,Associacao Voluntarios Para o Servicio Internacional - BRASIL,NGOs: National,3052049,UNHCR partner info
2022,Algeria,DZA,"Gestion du programme DAFI en faveurs des étudiants refugiés et demandeurs d'asile; Les Réfugiés et demandeurs d’asile urbains en Algérie aient l’accès à
l’assistance et à la protectio",UNHCR,Association Adwaa Rights pour la Démocratie et Droits de L'homme,NGOs: National,1333129,UNHCR partner info
2022,Mauritania,MRT,"Assistance aux Réfugiés ety demandeurs d'asile en milieu urbain : Mobilisat° Com, SGBV & Child Prot",UNHCR,Association des Femmes Chefs de Famille,NGOs: National,35444,UNHCR partner info
2022,"Congo, Democratic Republic of",COD,Protection et assistance aux refugies sud-soudanais dans les Provinces de l'Ituri et Haut-Uele,UNHCR,Association des Jeunes pour le Developpement Communautaire,NGOs: National,65597,UNHCR partner info
2022,Algeria,DZA,Programme de bourses DAFI - enseignement supérieur pour Sahrawi réfugies; Promouvoir et soutenir le système éducatif dans les camps des réfugiés,UNHCR,ASSOCIATION FEMMES ACTION ET DEVELOPPEMENT-AFAD,NGOs: National,878015,UNHCR partner info
2022,North Macedonia,MKD,Contribute to the improvement of Social Protection of UNHCR Persons of Concern,UNHCR,Association for action against violence and trafficking in human beings-Open Gat,NGOs: National,27687,UNHCR partner info
2022,Greece,GRC,Community-based Interventions for mental health care of asylum seekers and refugees,UNHCR,Association for Regional Development and Mental Health,NGOs: National,499261,UNHCR partner info
2022,Greece,GRC,NERM mobile unit and Info Desk in Thessaloniki,UNHCR,Association for the Social Support of Youth - ARSIS,NGOs: National,562509,UNHCR partner info
2022,Algeria,DZA,Les refugies et demandeurs d'asile en Algerie aient acces a l'assitance sante,UNHCR,Association Green Tea,NGOs: National,123954,UNHCR partner info
2022,Burkina Faso,BFA,"Abris écologiques et durables pour les PDI et les communautés hôtes dans la Région du Centre Nord.; Réalisation d’abris écologiques & durables pour les
populations déplacées & les communauté d'accueil",UNHCR,Association la Voute Nubienne,NGO: International,594843,UNHCR partner info
