year,recipient_location_iso3,total_usd_defl_m_lnha,destination_org_country,total_usd_defl_m,lnha_funding_perc
2017,SYR,57.0055195901076,Syrian Arab Republic,2931.68214122,0.0194446453756358
2017,MMR,9.52252249781078,Myanmar,203.394384614,0.0468180206443877
2019,JOR,45.4765120411365,Jordan,840.554898940001,0.0541029647182898
2019,AFG,18.0012431711953,Afghanistan,702.394865585,0.0256283809196166
2019,BLR,,Belarus,0.003559102,
2020,JOR,17.3477459279927,Jordan,981.834855445,0.0176687004253176
2020,SYR,219.585986453096,Syrian Arab Republic,3668.32392707601,0.0598600316706835
2021,Global,,Global,1361.906959892,
2023,TUR,246.074589,Türkiye,1859.320155883,0.132346539793809
2019,MOZ,8.79158583015326,Mozambique,453.316074592,0.0193939423790916
2019,KHM,0.134323255599659,Cambodia,5.922902909,0.0226786185192317
2019,IDN,0.83834893331,Indonesia,42.438156833,0.0197546028355807
2019,SYR,149.703257537169,Syrian Arab Republic,3607.575916106,0.0414969112275143
2019,YEM,317.620018419887,Yemen,4771.53618183701,0.0665655684701536
2019,SOM,44.5221240113159,Somalia,1243.343559983,0.0358083842988053
2019,BGD,4.18351360622204,Bangladesh,999.436296080999,0.00418587319934896
2019,PAK,7.68406785471191,Pakistan,141.537504732,0.0542899768457952
2019,IND,1.3839491038181,India,8.102270246,0.170810039877569
2019,TCD,1.2287867082,Chad,425.793054936,0.00288587776140383
2019,MRT,0.71126321784,Mauritania,68.733877791,0.010348073478449
2019,PSE,29.7573982080286,Occupied Palestinian Territory,444.864497993,0.0668909259837068
2019,PHL,2.06495447486,Philippines,31.936907162,0.0646573089994443
2019,SDN,36.289642041816,Sudan,833.754456105,0.0435255749172821
2020,TGO,,Togo,8.008562556,
2020,CAN,,Canada,0.107939287,
2020,IND,3.55725079080507,India,30.928553987,0.115015101976648
2020,SDN,55.7831654876484,Sudan,1249.464013586,0.04464567597073
2020,PSE,36.4383481595806,Occupied Palestinian Territory,733.807876196,0.0496565236509508
2020,SOM,45.4291492217486,Somalia,1373.052962884,0.0330862322501588
2021,TGO,1.123189083,Togo,3.674396333,0.305679894384981
2021,TJK,1.48989975144,Tajikistan,7.913696665,0.188268493791201
2021,IDN,20.422572593599,Indonesia,39.831449592,0.512724814255839
2021,IND,13.5030479397867,India,191.23452718,0.070609884830457
2021,EGY,1.08617249219385,Egypt,120.790145274,0.00899222771634207
2021,PSE,31.0454077699302,Occupied Palestinian Territory,1023.505195943,0.0303324378742667
2021,SOM,38.079176392996,Somalia,1345.448948214,0.0283022083026961
2021,LBN,29.7581898653695,Lebanon,1458.243110833,0.0204068784171184
2022,TUN,19.1896608535756,Tunisia,31.126392881,0.616507699010934
2022,TGO,1.47396847328702,Togo,3.553531386,0.414789771969955
2022,TJK,3.94874528025509,Tajikistan,7.085850809,0.557271862856559
2022,LKA,8.23530744652893,Sri Lanka,188.912219737,0.0435933020002304
2022,IDN,8.22530345585368,Indonesia,40.519611865,0.20299561316772
2022,IND,9.01645196250501,India,35.50800179,0.253927326460941
2022,SDN,58.4227990238902,Sudan,1463.550848896,0.0399185303796996
2022,JOR,36.6117226895307,Jordan,766.998127031,0.0477337836941693
2022,SYR,212.532140398062,Syrian Arab Republic,3272.169454999,0.0649514468370119
2020,CHN,9.5243077647947,China,15.974559199,0.596217250576211
2020,IDN,5.4217432942,Indonesia,46.603842572,0.116336829647121
2020,MYS,1.2255592759,Malaysia,12.956400994,0.0945910269732734
2020,GRC,1.942771164,Greece,50.32949373,0.0386010472193955
2020,HUN,,Hungary,0.021586346,
2020,SRB,20.8328154805,Serbia,25.316447894,0.822896465085743
2020,KOR,,"Korea, Republic of",0.329980479,
2020,SLV,1.3119495302,El Salvador,22.772364029,0.0576114771628131
2020,GEO,0.1079317313,Georgia,2.292248414,0.047085529928084
2020,NPL,7.6450741506,Nepal,35.068401502,0.21800463731328
2020,LBN,101.02259811577,Lebanon,2269.824666719,0.0445067848618444
2020,MKD,2.4960961357,"North Macedonia, Republic of",5.603672766,0.445439310954226
2020,MDA,1.5696349778,"Moldova, Republic of",6.376776583,0.246148654789714
2020,SSD,50.5993929436943,South Sudan,1836.725132511,0.0275487017888842
2020,AGO,0.7396982473,Angola,22.056275469,0.0335368611232501
2020,CUB,2.0578263881,Cuba,6.446611277,0.31921055880038
2020,ITA,4.923365284,Italy,8.725278501,0.564264542780581
2020,TUR,26.2383959771,Türkiye,1492.738741335,0.0175773531231823
2021,NPL,10.931192838,Nepal,47.563960166,0.229820914823949
2021,IRN,0.4684867433,"Iran, Islamic Republic of",115.578177328,0.00405341868275426
2021,PAK,14.2962140250254,Pakistan,196.067042717,0.072914926582844
2021,SDN,15.1617668952236,Sudan,1064.17657513,0.0142474164998149
