year,donor_org,donor_org_type,total_usd_defl_m_lnha
2016,National Foundation for Development and Humanitarian Response,NGOs: Local/National,0.0495996123083894
2016,"International Rescue Committee, Inc.",NGOs: International,0.162127423498795
2016,Khadija Foundation for Development,NGOs: Local/National,0.0129508172129647
2016,Human Access for Partnership and Development,NGOs: Local/National,0.117307389035327
2016,Yemeni Development Network for NGOs,NGOs: Local/National,0.366913772121389
2016,Stichting ZOA,NGOs: International,0.8336540258994
2016,OXFAM Italia,NGOs: International,0.0305487992279498
2016,Fundacion Accion Contra El Hambre (Action Against Hunger ),NGOs: International,0.0190857259938429
2016,CARE International,NGOs: International,0.169478453792253
2016,ALIANZA POR LA SOLIDARIDAD,NGOs: International,0.0429894340373511
2016,Première Urgence Internationale,NGOs: International,0.0104738740210114
2016,United Nations Development Programme,Multilateral: UN,0.00581881890056187
2016,"France, Government of",Governments,7.9364689082
2016,"United Kingdom, Government of",Governments,27.6045653535136
2016,"Saudi Arabia (Kingdom of), Government of",Governments,288.516380515386
2016,"Italy, Government of",Governments,9.43129891083
2016,"Denmark, Government of",Governments,23.01454982895
2016,"Germany, Government of",Governments,34.891970476927
2016,"Japan, Government of",Governments,1.17492509121
2016,"United States of America, Government of",Governments,7.84518332944
2016,"Spain, Government of",Governments,1.30130491
2016,"Dominica, Government of",Governments,0.1135380602
2016,"Luxembourg, Government of",Governments,0.1077320842
2016,"Qatar, Government of",Governments,0.3705718896
2016,"Switzerland, Government of",Governments,4.72400220746
2016,"Lithuania, Government of",Governments,1.19407838198
2016,Misereor,NGOs: International,0.8140140585
2016,EC/ECHO,Multilateral: EC,2.1246543882
2016,"Türkiye, Government of",Governments,0.36542498268
2016,"Hungary, Government of",Governments,0.086429805986
2016,"Kuwait, Government of",Governments,141.38029202745
2016,"Australia, Government of",Governments,5.2900921091
2016,"New Zealand, Government of",Governments,1.968482295741
2016,"Nauru, Government of",Governments,0.09930264052
2016,Red Cross Society of China,RCRC,0.2164387184
2016,Private (individuals & organizations),Private Organisations: Foundations and Other,28.3750246471052
2016,"",Unknown,51.6594846643949
2016,"Estonia, Government of",Governments,0.34377686743
2016,"Argentina, Government of",Governments,0.07091939843
2016,"Brazil, Government of",Governments,0.3494206413
2016,World Jewish Relief,Private Organisations: Foundations and Other,0.03773006768
2016,"Poland, Government of",Governments,0.1128975381
2016,"United Arab Emirates, Government of",Governments,50.447032512
2016,"Kazakhstan, Government of",Governments,1.7567641566
2016,"Belgium, Government of",Governments,0.9934564456
2016,"Norway, Government of",Governments,0.2854771516
2016,"Algeria, Government of",Governments,0.8076895186
2016,Southern African Development Community,Multilateral: Other,0.0465505512044949
2016,World Bank,Multilateral: Other,0.581881890056187
2016,"Netherlands, Government of",Governments,0.07759219952
2016,"Czech Republic, Government of",Governments,0.38958632154
2016,"Bulgaria, Government of",Governments,0.3957134628
2016,Medico International,NGOs: International,1.051897354
2016,UN Women,Multilateral: UN,0.0465505512044949
2016,ACT Alliance / Bread for the World,NGOs: International,4.14876754e-07
2016,"China, Government of",Governments,1.8808524632
2016,Kuwait Red Crescent Society,RCRC,5.818818901
2016,"Belarus, Government of",Governments,1.0055879127
2016,World Vision,NGOs: International,0.24568130104
2016,Arab League,Multilateral: Other,0.0430592598641578
2016,Catholic Agency for Overseas Development,NGOs: International,0.1160568061
2016,"",Governments,5.23662276722754
2016,"",Multilateral: UN,2.40547527898647
2016,"",RCRC,68.6851977143423
2017,Afghanistan CBPF,Pooled Funds: Country,9.16135134793513
2017,CAR CBPF,Pooled Funds: Country,1.05595389604252
2017,Colombia CBPF,Pooled Funds: Country,0.820227160892773
2017,DRC CBPF,Pooled Funds: Country,15.6443419545304
2017,Ethiopia CBPF,Pooled Funds: Country,2.00692945547372
2017,Iraq CBPF,Pooled Funds: Country,7.92601033288082
2017,Jordan CBPF,Pooled Funds: Country,2.08525597187702
2017,Lebanon CBPF,Pooled Funds: Country,3.22067339352088
2017,Myanmar CBPF,Pooled Funds: Country,2.62252335232456
2017,Nigeria CBPF,Pooled Funds: Country,1.33756000889794
2017,Pakistan CBPF,Pooled Funds: Country,5.40537335606926
2017,Somalia CBPF,Pooled Funds: Country,24.7756327683913
2017,South Sudan CBPF,Pooled Funds: Country,16.2248040132853
2017,Sudan CBPF,Pooled Funds: Country,4.42480087436575
2017,Syria CBPF,Pooled Funds: Country,5.519160100362
2017,Syria Cross border CBPF,Pooled Funds: Country,22.0556403916118
2017,Yemen CBPF,Pooled Funds: Country,58.5949941391449
2017,oPt CBPF,Pooled Funds: Country,4.14494227573739
2017,United Nations Population Fund,Multilateral: UN,5.71593154497516
2017,World Health Organization,Multilateral: UN,4.79233340449661
2017,Healthnet International and Transcultural Psychosocial Organization,NGOs: International,0.0148169766581442
2017,Mission d’Aide au Développement des Economies Rurales en Afghanistan,NGOs: International,0.143872820555232
2017,Youth Health & Development Organization,NGOs: Local/National,0.329865792270524
2017,Action Contre la Faim,NGOs: International,0.19611921269835
2017,Norwegian Church Aid,NGOs: International,0.687454512594014
2017,Fundación Plan,NGOs: Local/National,0.0289483946016648
2017,Fundación Halu Bienestar Humano,NGOs: Local/National,0.028609530345493
2017,Comitato Internazionale per lo Sviluppo dei Popoli,NGOs: International,0.0451347904355778
2017,Association Locale pour le Développement Intégral,NGOs: Local/National,0.450221814129759
2017,Assistance aux Communautés Démunies,NGOs: Local/National,0.409780164278556
2017,OXFAM GB,NGOs: International,3.57467850266519
2017,Norwegian Refugee Council,NGOs: International,0.861389622465372
2017,Sorouh for Sustainable Development Foundation,NGOs: Local/National,0.364877510276514
2017,Secours Islamique France,NGOs: International,0.0101895208710622
2017,OXFAM,NGOs: International,0.041031627668707
