funding_type,2016,2017,2018,2019,2020,2021,2022,2023,2024
Direct and indirect local,940.359635996997,1595.08507036883,1215.70942246175,926.261319895407,1377.21269788998,957.650971884859,3087.08494826927,4181.54614085289,3457.84393731524
Direct and indirect local (without UN partner data),,,,,,,1602.46522319745,2646.59596778289,1907.99762364578
Direct local,704.438368634526,849.493914379896,898.617620894663,525.791268054298,916.010866048399,503.993114718177,1070.04025742622,1789.82087601606,1409.88616374431
Total direct humanitarian funding,26488.8327509536,25090.5639819803,27713.4140189839,28496.2642803178,32723.6236855231,32263.8836802644,45936.0841023505,38628.8178894943,36240.9420972199
