recipient_org_type,2016,2017,2018,2019,2020,2021,2022,2023,2024
Governments: Local/National,524.118686778265,538.985631581631,732.748541257911,368.219889403707,708.268457851915,273.691087516775,1246.38317039158,1655.457201,1307.55521399766
NGOs: Local/National,301.714645825175,400.095946196955,441.473038241998,511.377844340957,540.877605292179,578.288539638051,1689.0530947473,1720.68388650333,1927.16618543413
Other: Local/National,56.5491981391613,130.340093718798,5.39182400264898,13.557058912112,31.1438818568887,29.5556656935178,49.9480103578638,39.42842489,41.8185599064543
RCRC: National,101.545708448431,566.239650458326,77.7561107605563,99.4568707670685,172.838985388582,155.194692057334,204.696251630109,878.51404845956,301.90987412655
